Name,Country,Varietal,Wine type,Rating,NumberOfRatings,Year,Price$
Robert Mondavi To Kalon Vineyard Reserve Cabernet Sauvignon 2017,California,Cabernet Sauvignon,Red Wine,4.7,33, 2017,144.99
Joseph Phelps Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.5,45, 2019,89.99
Stag's Leap Wine Cellars Artemis Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.4,71, 2019,77.99
Faust Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.3,427, 2018,49.99
The Prisoner Wine Company The Prisoner Red Blend 2019,California,Other Red Blends,Red Wine,4.5,632, 2019,48.99
Dominus Estate 2019,California,Bordeaux Red Blends,Red Wine,4.5,15, 2019,309.99
Stag's Leap Wine Cellars KARIA Chardonnay 2019,California,Chardonnay,White Wine,4.2,114, 2019,27.99
Head High Wines Sonoma County Pinot Noir 2019,California,Pinot Noir,Red Wine,3.9,78, 2019,19.99
Antica Mountain Select Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.4,12, 2018,59.99
Rutherford Hill Merlot 2019,California,Merlot,Red Wine,3.9,45, 2019,25.99
Antica Mountain Select Chardonnay 2019,California,Chardonnay,White Wine,3.6,11, 2019,29.99
Parducci Small Lot Chardonnay 2020,California,Chardonnay,White Wine,3.8,35, 2020,14.99
Lail J. Daniel Cuvee Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.2,6, 2018,269.99
Paul Dolan Vineyards Organically Grown Zinfandel 2019,California,Zinfandel,Red Wine,3.8,247, 2019,19.99
Gia by Gia Coppola Red Blend (1 Liter Bottle) 2019,California,Other Red Blends,Red Wine,3.2,25, 2019,19.98
Francis Ford Coppola Cabernet Sauvignon 93rd Awards Edition 2019,California,Cabernet Sauvignon,Red Wine,3.7,22, 2019,49.98
Sonoma Rising Fortitude Cabernet Sauvignon (Sonoma Barrel Auction) 2016,California,Cabernet Sauvignon,Red Wine,0.0,0, 2016,99.99
Caymus Napa Valley Cabernet Sauvignon 2020,California,Cabernet Sauvignon,Red Wine,4.6,132, 2020,84.99
Opus One 2019,California,Bordeaux Red Blends,Red Wine,5.0,8, 2019,389.99
Silver Oak Napa Valley Cabernet Sauvignon 2017,California,Cabernet Sauvignon,Red Wine,4.5,54, 2017,139.99
Duckhorn Vineyards Wine Gift Set,California,Collection,Not available,0.0,0,Not available,164.99
Silver Oak Alexander Valley Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.6,13, 2018,89.99
Joseph Phelps Freestone Vineyards Pinot Noir 2019,California,Pinot Noir,Red Wine,4.3,172, 2019,49.99
Duckhorn Napa Valley Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.2,55, 2019,69.99
Joseph Phelps Insignia 2018,California,Bordeaux Red Blends,Red Wine,4.6,81, 2018,269.99
Shafer One Point Five Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.6,22, 2019,109.99
Opus One Overture,California,Bordeaux Red Blends,Red Wine,4.5,194,Not available,149.99
Beaulieu Vineyard Georges de Latour Private Reserve 2018,California,Cabernet Sauvignon,Red Wine,4.3,45, 2018,129.99
Quintessa 2019,California,Cabernet Sauvignon,Red Wine,4.8,6, 2019,229.99
Faust Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.5,53, 2019,54.99
Vina Robles Estate Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.0,282, 2019,21.99
Austin Hope Cabernet Sauvignon 2020,California,Cabernet Sauvignon,Red Wine,4.5,104, 2020,64.99
Caymus Napa Valley Cabernet Sauvignon (1.5 Liter Magnum) 2020,California,Cabernet Sauvignon,Red Wine,0.0,0, 2020,199.99
Caymus Napa Valley Cabernet Sauvignon (1 Liter Bottle) 2020,California,Cabernet Sauvignon,Red Wine,4.7,6, 2020,99.99
Far Niente Napa Valley Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.7,22, 2019,129.99
Hall Eighteen Seventy-Three Cabernet Sauvignon 2017,California,Cabernet Sauvignon,Red Wine,4.2,39, 2017,74.99
Patrimony Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,0.0,0, 2019,279.99
Schug Sonoma Coast Pinot Noir 2021,California,Pinot Noir,Red Wine,4.0,20, 2021,21.99
Decoy Limited Napa Valley Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.1,97, 2019,29.99
Justin Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.2,86, 2019,33.99
Far Niente Chardonnay 2021,California,Chardonnay,White Wine,0.0,0, 2021,69.99
Duckhorn Sauvignon Blanc 2021,California,Sauvignon Blanc,White Wine,4.2,44, 2021,27.99
Flowers Sonoma Coast Pinot Noir 2021,California,Pinot Noir,Red Wine,4.5,10, 2021,54.99
Belle Glos Las Alturas Vineyard Pinot Noir 2020,California,Pinot Noir,Red Wine,4.4,23, 2020,49.99
Ridge Lytton Springs 2020,California,Other Red Blends,Red Wine,0.0,0, 2020,49.99
Beringer Knights Valley Reserve Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.2,58, 2018,48.99
Beaulieu Vineyard Georges de Latour Private Reserve 2019,California,Cabernet Sauvignon,Red Wine,0.0,0, 2019,149.99
Kendall-Jackson Vintner's Reserve Chardonnay 2020,California,Chardonnay,White Wine,4.1,165, 2020,14.99
Rancho Sisquoc Pinot Noir 2019,California,Pinot Noir,Red Wine,3.9,14, 2019,23.99
Merry Edwards Sauvignon Blanc 2021,California,Sauvignon Blanc,White Wine,0.0,0, 2021,49.99
Morgan Twelve Clones Pinot Noir 2019,California,Pinot Noir,Red Wine,4.2,56, 2019,29.99
Duckhorn Napa Valley Chardonnay 2021,California,Chardonnay,White Wine,4.2,8, 2021,29.99
Cambria Katherine's Vineyard Chardonnay 2020,California,Chardonnay,White Wine,3.7,52, 2020,16.99
Robert Craig Cellars Affinity Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,0.0,0, 2018,59.99
Raeburn Chardonnay 2020,California,Chardonnay,White Wine,4.1,121, 2020,16.99
California Wine Tour Collection,California,Collection,Not available,0.0,0,Not available,99.99
Bella Union by Far Niente Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.2,21, 2018,62.99
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.5,12, 2018,299.99
Napa Valley Wine Gift Set,California,Collection,Not available,0.0,0,Not available,89.99
Mt. Brave Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.3,45, 2018,99.99
Crossbarn Sonoma Coast Pinot Noir 2019,California,Pinot Noir,Red Wine,4.0,31, 2019,34.99
Opus One (375ML half-bottle) 2019,California,Bordeaux Red Blends,Red Wine,0.0,0, 2019,199.99
Amici Napa Valley Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.2,30, 2019,49.99
Cakebread Chardonnay 2021,California,Chardonnay,White Wine,0.0,0, 2021,45.99
Decoy California Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.0,393, 2019,21.99
Clay Shannon Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,3.7,31, 2019,21.99
Kistler Vineyards Sonoma Mountain Chardonnay 2020,California,Chardonnay,White Wine,3.7,5, 2020,84.99
Nielson Santa Maria Valley Pinot Noir 2015,California,Pinot Noir,Red Wine,3.7,44, 2015,13.99
Ancient Peaks Paso Robles Cabernet Sauvignon 2020,California,Cabernet Sauvignon,Red Wine,4.4,14, 2020,19.99
Shafer Hillside Select Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,0.0,0, 2018,369.99
Nickel & Nickel State Ranch Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.5,18, 2019,109.99
Rombauer California Zinfandel 2020,California,Zinfandel,Red Wine,4.5,5, 2020,37.99
Schramsberg Blanc de Noirs 2018,California,Vintage Sparkling Wine,Sparkling & Champagne,4.1,22, 2018,36.99
Shafer Relentless 2018,California,Syrah/Shiraz,Red Wine,4.6,16, 2018,89.99
Beringer Private Reserve Chardonnay 2019,California,Chardonnay,White Wine,4.2,54, 2019,45.99
Frank Family Vineyards Pinot Noir 2019,California,Pinot Noir,Red Wine,4.5,28, 2019,39.99
Nickel & Nickel Sullenger Vineyard Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,0.0,0, 2019,109.99
La Crema Monterey Chardonnay 2021,California,Chardonnay,White Wine,0.0,0, 2021,17.99
Honig Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.7,12, 2019,48.99
Chronic Cellars Sir Real Cabernet Sauvignon 2020,California,Cabernet Sauvignon,Red Wine,4.1,30, 2020,16.99
DAOU Vineyards Soul of a Lion 2019,California,Bordeaux Red Blends,Red Wine,0.0,0, 2019,159.99
Turnbull Cabernet Sauvignon 2020,California,Cabernet Sauvignon,Red Wine,0.0,0, 2020,49.99
Continuum 2019,California,Bordeaux Red Blends,Red Wine,4.7,16, 2019,294.99
Schug Sonoma Coast Chardonnay 2021,California,Chardonnay,White Wine,3.8,19, 2021,21.99
Roederer Estate Brut (375ML half-bottle),California,Non Vintage Sparkling Wine,Sparkling & Champagne,4.0,107,Not available,15.99
Cakebread Sauvignon Blanc 2021,California,Sauvignon Blanc,White Wine,4.7,6, 2021,33.99
Andrew Murray Tous les Jours Syrah 2018,California,Syrah/Shiraz,Red Wine,3.8,109, 2018,17.99
Larkmead Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,0.0,0, 2018,124.99
Favia and Erickson Winemaking Duo Tasting Set,California,Mixed Collections,Not available,0.0,0,Not available,89.99
Roederer Estate Brut,California,Non Vintage Sparkling Wine,Sparkling & Champagne,4.1,661,Not available,26.99
The Prisoner Wine Company Unshackled Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.3,236, 2019,25.99
The Prisoner Wine Company Saldo Zinfandel,California,Zinfandel,Red Wine,4.3,115,Not available,33.99
Talbott Sleepy Hollow Vineyard Pinot Noir 2017,California,Pinot Noir,Red Wine,4.4,9, 2017,35.99
Paraduxx Proprietary Red 2019,California,Other Red Blends,Red Wine,4.3,19, 2019,44.99
CADE Howell Mountain Estate Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.4,28, 2018,119.99
Goldeneye Anderson Valley Pinot Noir 2019,California,Pinot Noir,Red Wine,4.0,32, 2019,47.99
Grgich Hills Estate Chardonnay 2019,California,Chardonnay,White Wine,4.5,28, 2019,39.99
Stags' Leap Winery Napa Valley Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.5,16, 2019,58.99
Seghesio Sonoma Zinfandel 2020,California,Zinfandel,Red Wine,4.2,50, 2020,21.99
Joel Gott Sauvignon Blanc 2021,California,Sauvignon Blanc,White Wine,3.8,50, 2021,12.99
Emeritus Hallberg Ranch Pinot Noir 2018,California,Pinot Noir,Red Wine,4.5,5, 2018,47.99
Peju Winery Legacy Collection Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.0,41, 2019,52.99
L'Aventure Estate Cuvee 2019,California,Other Red Blends,Red Wine,3.9,14, 2019,119.99
Patz & Hall Sonoma Coast Pinot Noir 2018,California,Pinot Noir,Red Wine,0.0,0, 2018,41.99
Dana Estates Vaso Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,0.0,0, 2018,99.99
Trefethen Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.3,27, 2019,58.99
Decoy Limited Sonoma Coast Pinot Noir 2019,California,Pinot Noir,Red Wine,4.0,43, 2019,28.99
Meiomi Pinot Noir,California,Pinot Noir,Red Wine,4.0,729,Not available,21.99
Sonoma-Cutrer Sonoma Coast Chardonnay 2021,California,Chardonnay,White Wine,0.0,0, 2021,29.99
Duckhorn Three Palms Merlot 2019,California,Merlot,Red Wine,0.0,0, 2019,109.99
Duckhorn Napa Valley Merlot 2020,California,Merlot,Red Wine,0.0,0, 2020,52.99
Decoy Pinot Noir 2020,California,Pinot Noir,Red Wine,4.2,42, 2020,20.99
Marietta Cellars Old Vine Red Lot 73,California,Other Red Blends,Red Wine,3.8,148,ot 73,15.99
Joel Gott Blend No. 815 Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.1,82, 2019,16.99
Legendary Steakhouse Tasting Trio,California,Collection,Not available,0.0,0,Not available,244.99
DAOU Vineyards Cabernet Sauvignon 2021,California,Cabernet Sauvignon,Red Wine,4.0,38, 2021,24.99
Heitz Cellar Martha's Vineyard Cabernet Sauvignon 2015,California,Cabernet Sauvignon,Red Wine,4.4,12, 2015,249.99
Conundrum Red Blend 2020,California,Other Red Blends,Red Wine,4.3,56, 2020,24.99
Chateau Montelena Napa Valley Chardonnay 2019,California,Chardonnay,White Wine,4.2,25, 2019,60.99
Pahlmeyer Merlot 2019,California,Merlot,Red Wine,0.0,0, 2019,104.99
DAOU Vineyards Pessimist Red Blend 2020,California,Other Red Blends,Red Wine,4.1,112, 2020,22.99
Opaque Zinfandel 2017,California,Zinfandel,Red Wine,4.1,67, 2017,22.99
Marietta Cellars Christo 2018,California,Rhone Red Blends,Red Wine,3.8,117, 2018,19.99
Stags' Leap Winery Petite Sirah 2018,California,Petite Sirah,Red Wine,4.1,74, 2018,39.99
Vineyard 29 Aida Estate Cabernet Sauvignon 2017,California,Cabernet Sauvignon,Red Wine,0.0,0, 2017,309.99
Wayfarer Golden Mean Pinot Noir 2019,California,Pinot Noir,Red Wine,0.0,0, 2019,129.99
Bogle Chardonnay 2021,California,Chardonnay,White Wine,4.3,9, 2021,10.99
La Crema Sonoma Coast Pinot Noir 2020,California,Pinot Noir,Red Wine,4.3,18, 2020,24.99
Apothic Red Blend 2020,California,Other Red Blends,Red Wine,4.0,120, 2020,10.99
California Wine Gift Set,California,Collection,Not available,0.0,0,Not available,39.99
Ulysses Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.0,9, 2018,169.99
Martin Ray Sonoma Coast Pinot Noir 2021,California,Pinot Noir,Red Wine,4.1,6, 2021,18.99
Ridge Paso Robles Zinfandel 2020,California,Zinfandel,Red Wine,4.2,24, 2020,35.99
Paul Hobbs Beckstoffer Dr. Crane Vineyard Cabernet Sauvignon 2017,California,Cabernet Sauvignon,Red Wine,0.0,0, 2017,319.99
Freemark Abbey Napa Valley Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.2,39, 2018,49.99
Flowers Sonoma Coast Chardonnay 2021,California,Chardonnay,White Wine,0.0,0, 2021,49.99
Chateau Montelena Napa Valley Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,0.0,0, 2019,80.99
Purlieu Backstoffer Georges III Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,0.0,0, 2018,209.99
The Prisoner Wine Company Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.6,39, 2019,61.99
Amapola Creek Jos. Belli Vineyards Chardonnay 2017,California,Chardonnay,White Wine,4.1,8, 2017,47.99
Newton Single Vineyard Mt. Veeder Cabernet Sauvignon 2016,California,Cabernet Sauvignon,Red Wine,0.0,0, 2016,149.99
Stag's Leap Wine Cellars Cask 23 Cabernet Sauvignon 2014,California,Cabernet Sauvignon,Red Wine,4.5,32, 2014,299.99
Cakebread Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.4,18, 2019,83.99
Sine Qua Non Stockholm Syndrome Eleven Confession Vineyard Grenache 2010,California,Grenache,Red Wine,0.0,0, 2010,"1,289.97"
Provenance Vineyards Napa Valley Cabernet Sauvignon 2017,California,Cabernet Sauvignon,Red Wine,4.0,28, 2017,39.99
B Side North Coast Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.1,104, 2018,21.99
Williams Selyem Estate Vineyard Pinot Noir 2019,California,Pinot Noir,Red Wine,0.0,0, 2019,199.99
J. Lohr Estates Seven Oaks Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.1,205, 2019,16.99
Chappellet Signature Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.6,10, 2019,90.99
Jordan Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,0.0,0, 2018,72.99
Nickel & Nickel Quarry Vineyard Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.4,5, 2019,109.99
Turley Old Vines Zinfandel 2020,California,Zinfandel,Red Wine,0.0,0, 2020,31.99
Arrowood Reserve Speciale Cabernet Sauvignon 2014,California,Cabernet Sauvignon,Red Wine,4.6,7, 2014,89.99
Cervantes Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,5.0,23, 2018,165.99
Ramey Cabernet Sauvignon 2016,California,Cabernet Sauvignon,Red Wine,4.5,18, 2016,57.99
Hall Coeur Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,0.0,0, 2018,64.99
Hall Ellie's Cabernet Sauvignon 2017,California,Cabernet Sauvignon,Red Wine,4.3,29, 2017,71.99
Talbott Kali-Hart Chardonnay 2020,California,Chardonnay,White Wine,4.1,9, 2020,17.99
Chalk Hill Estate Chardonnay 2020,California,Chardonnay,White Wine,0.0,0, 2020,34.99
Orin Swift Cellars Abstract 2020,California,Other Red Blends,Red Wine,4.2,74, 2020,35.99
Hall Napa Valley Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,0.0,0, 2019,58.99
EnRoute Winery Les Pommiers Pinot Noir 2021,California,Pinot Noir,Red Wine,0.0,0, 2021,58.99
Heitz Cellar Lot C-91 Cabernet Sauvignon 2016,California,Cabernet Sauvignon,Red Wine,4.4,16, 2016,99.99
J. Lohr Estates Riverstone Chardonnay 2020,California,Chardonnay,White Wine,3.9,73, 2020,12.99
Chloe Chardonnay 2021,California,Chardonnay,White Wine,0.0,0, 2021,14.99
Buena Vista Chateau Buena Vista Napa Valley Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.6,23, 2019,44.99
Bryant Family Bettina Proprietary Red 2014,California,Bordeaux Red Blends,Red Wine,0.0,0, 2014,499.97
Chandon Brut Rose,California,Sparkling Rosé,Sparkling & Champagne,4.1,330,Not available,23.99
Corison Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,0.0,0, 2019,109.99
Sonnet Black Ridge Pinot Noir 2017,California,Pinot Noir,Red Wine,0.0,0, 2017,22.99
Opaque Darkness Red Wine 2018,California,Other Red Blends,Red Wine,4.5,32, 2018,24.99
Pine Ridge Chenin Blanc - Viognier 2021,California,Other White Blends,White Wine,4.2,110, 2021,12.99
Dunn Howell Mountain Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,0.0,0, 2018,175.99
Grgich Hills Estate Sauvignon Blanc 2019,California,Sauvignon Blanc,White Wine,5.0,5, 2019,28.99
Groth Reserve Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,0.0,0, 2018,155.99
Orin Swift Cellars 8 Years in the Desert 2021,California,Other Red Blends,Red Wine,4.9,5, 2021,49.99
Duckhorn Napa Valley Cabernet Sauvignon (6 Liter Bottle) 2016,California,Cabernet Sauvignon,Red Wine,0.0,0, 2016,899.97
Experience Napa Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.0,51, 2019,27.99
Stag's Leap Wine Cellars Fay Vineyard Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,0.0,0, 2019,159.99
Ridge Estate Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,0.0,0, 2019,69.99
Silver Oak Alexander Valley Cabernet Sauvignon (3 Liter Bottle) 2018,California,Cabernet Sauvignon,Red Wine,0.0,0, 2018,499.97
Patz & Hall Dutton Ranch Chardonnay 2018,California,Chardonnay,White Wine,0.0,0, 2018,49.99
Darioush Signature Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,0.0,0, 2019,145.99
Shannon Ridge High Elevation Cabernet Sauvignon 2020,California,Cabernet Sauvignon,Red Wine,4.0,29, 2020,13.99
Angeline California Pinot Noir 2021,California,Pinot Noir,Red Wine,0.0,0, 2021,11.99
Kosta Browne Sta. Rita Hills Pinot Noir 2020,California,Pinot Noir,Red Wine,5.0,5, 2020,109.99
Heitz Cellar Martha's Vineyard Cabernet Sauvignon 2016,California,Cabernet Sauvignon,Red Wine,0.0,0, 2016,299.99
"Continuum with Commemorative ""One Hundredth Harvest"" Booklet (375ML half-bottle) 2019",California,Bordeaux Red Blends,Red Wine,0.0,0, 2019,149.97
Calera Jensen Vineyard Pinot Noir 2019,California,Pinot Noir,Red Wine,0.0,0, 2019,99.99
Hourglass HG III Proprietary Red Blend 2019,California,Other Red Blends,Red Wine,4.0,20, 2019,50.99
La Crema Monterey Pinot Noir 2020,California,Pinot Noir,Red Wine,4.4,16, 2020,17.99
Bogle Old Vines Zinfandel 2020,California,Zinfandel,Red Wine,0.0,0, 2020,11.99
Domaine Carneros Brut 2018,California,Vintage Sparkling Wine,Sparkling & Champagne,4.5,7, 2018,32.99
Hartford Court Russian River Chardonnay 2020,California,Chardonnay,White Wine,4.4,36, 2020,27.99
Von Strasser Reserve Red Wine 2015,California,Bordeaux Red Blends,Red Wine,0.0,0, 2015,84.98
Sketchbook Pinot Noir 2020,California,Pinot Noir,Red Wine,4.0,9, 2020,18.99
DuMOL Wester Reach Pinot Noir 2020,California,Pinot Noir,Red Wine,0.0,0, 2020,74.99
Decoy Sauvignon Blanc 2021,California,Sauvignon Blanc,White Wine,4.3,9, 2021,17.99
Orin Swift Cellars Machete 2019,California,Other Red Blends,Red Wine,4.8,8, 2019,54.99
Chappellet Pritchard Hill Estate Vineyard Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,0.0,0, 2019,299.99
Chimney Rock Stags Leap District Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.5,55, 2018,99.99
Spottswoode Cabernet Sauvignon (1.5 Liter Magnum) 2013,California,Cabernet Sauvignon,Red Wine,0.0,0, 2013,549.97
Mayacamas Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,0.0,0, 2018,149.99
Stags' Leap Winery The Leap Estate Grown Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,3.7,9, 2018,97.99
Oberon Cabernet Sauvignon 2020,California,Cabernet Sauvignon,Red Wine,4.5,58, 2020,24.99
Robert Mondavi Private Selection Bourbon Barrels Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.1,201, 2019,15.99
Emmolo Merlot 2020,California,Merlot,Red Wine,0.0,0, 2020,55.99
Pepperwood Grove Pinot Grigio,California,Pinot Gris/Grigio,White Wine,nan,380,Not available,6.99
Alpha Omega Two Squared Red 2018,California,Bordeaux Red Blends,Red Wine,4.1,15, 2018,44.99
Kendall-Jackson Grand Reserve Chardonnay 2020,California,Chardonnay,White Wine,3.9,5, 2020,18.99
Outpost Howell Mountain Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,0.0,0, 2018,109.99
Fess Parker The Big Easy 2019,California,Rhone Red Blends,Red Wine,0.0,0, 2019,30.99
Vigilance Cabernet Sauvignon 2020,California,Cabernet Sauvignon,Red Wine,3.8,8, 2020,10.99
Louis Martini Sonoma Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.2,21, 2019,19.99
Justin Sauvignon Blanc 2021,California,Sauvignon Blanc,White Wine,3.5,5, 2021,19.99
Ridge Monte Bello 2019,California,Bordeaux Red Blends,Red Wine,4.2,5, 2019,249.99
Silverado SOLO Cabernet Sauvignon 2016,California,Cabernet Sauvignon,Red Wine,0.0,0, 2016,129.99
Lokoya Howell Mountain Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,0.0,0, 2018,429.97
Calera de Villiers Vineyard Pinot Noir 2017,California,Pinot Noir,Red Wine,0.0,0, 2017,68.99
Obsidian Ridge Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.1,45, 2019,34.99
Kosta Browne Sonoma Coast Pinot Noir 2020,California,Pinot Noir,Red Wine,0.0,0, 2020,109.99
Frank Family Vineyards Chardonnay 2021,California,Chardonnay,White Wine,0.0,0, 2021,39.99
Private Property by Caraccioli Pinot Noir 2021,California,Pinot Noir,Red Wine,0.0,0, 2021,34.99
Diamond Creek Volcanic Hill Cabernet Sauvignon 2017,California,Cabernet Sauvignon,Red Wine,4.8,8, 2017,249.99
Talbott Sleepy Hollow Chardonnay 2020,California,Chardonnay,White Wine,0.0,0, 2020,34.99
Wente Morning Fog Chardonnay 2021,California,Chardonnay,White Wine,4.1,33, 2021,15.99
Beringer Knights Valley Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.1,130, 2018,32.99
Trefethen Dragon's Tooth Red Blend 2018,California,Bordeaux Red Blends,Red Wine,4.3,48, 2018,55.99
Spellbound Petite Sirah 2019,California,Petite Sirah,Red Wine,4.3,73, 2019,13.99
Quill Diamond Mountain Cabernet Sauvignon 2011,California,Cabernet Sauvignon,Red Wine,0.0,0, 2011,89.99
Roots Run Deep Educated Guess Napa Cabernet Sauvignon 2020,California,Cabernet Sauvignon,Red Wine,4.4,9, 2020,26.99
Frank Family Vineyards Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,0.0,0, 2019,61.99
Iron Horse Wedding Cuvee 2018,California,Vintage Sparkling Wine,Sparkling & Champagne,0.0,0, 2018,47.99
OZV Old Vine Zinfandel 2020,California,Zinfandel,Red Wine,3.8,18, 2020,12.99
Louis Martini Napa Valley Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.2,34, 2018,43.99
Kinsella Estates Jersey Boys Vineyard Cabernet Sauvignon 2017,California,Cabernet Sauvignon,Red Wine,0.0,0, 2017,119.99
Seghesio Old Vine Zinfandel 2018,California,Zinfandel,Red Wine,4.1,9, 2018,35.99
Duckhorn Sauvignon Blanc (375ML half-bottle) 2021,California,Sauvignon Blanc,White Wine,0.0,0, 2021,12.99
Schug Sonoma Valley Cabernet Sauvignon 2018,California,Cabernet Sauvignon,Red Wine,4.6,9, 2018,29.99
Sojourn Rodgers Creek Pinot Noir 2019,California,Pinot Noir,Red Wine,4.2,6, 2019,49.99
Josh Cellars Cabernet Sauvignon 2020,California,Cabernet Sauvignon,Red Wine,4.4,23, 2020,17.99
OVIS Cabernet Sauvignon 2016,California,Cabernet Sauvignon,Red Wine,4.7,21, 2016,49.99
Chalone Estate Chardonnay 2020,California,Chardonnay,White Wine,4.3,5, 2020,21.99
Hitching Post Highliner Pinot Noir 2019,California,Pinot Noir,Red Wine,4.3,5, 2019,37.99
Nickel & Nickel C.C. Ranch Cabernet Sauvignon 2019,California,Cabernet Sauvignon,Red Wine,4.2,6, 2019,109.99
Heitz Cellar Napa Valley Cabernet Sauvignon (1.5 Liter Magnum) 2016,California,Cabernet Sauvignon,Red Wine,0.0,0, 2016,139.99
Angels & Cowboys Proprietary Red 2019,California,Other Red Blends,Red Wine,4.2,36, 2019,19.99
Blackbird Vineyards Arise Napa Valley Proprietary Red 2018,California,Bordeaux Red Blends,Red Wine,4.1,9, 2018,51.99
Schramsberg Blanc de Blancs 2019,California,Vintage Sparkling Wine,Sparkling & Champagne,0.0,0, 2019,42.99
Roederer Estate Brut Rose,California,Sparkling Rosé,Sparkling & Champagne,4.2,113,Not available,32.99
Three Sticks Gap's Crown Vineyard Pinot Noir 2020,California,Pinot Noir,Red Wine,0.0,0, 2020,69.99
Lincourt Rancho Santa Rosa Pinot Noir 2018,California,Pinot Noir,Red Wine,4.1,15, 2018,22.99
